f1,f2,f3,f4,f5,label
0.34246576313513777,0.28332520635882397,0.9600869330470669,0.08407696566573686,0.5450908939701004,1
0.26774013632321336,0.19113292216245592,0.8496702697525591,0.44842793959201,0.43910136165736924,1
0.5378910511973999,0.3936850200690626,0.7784644849378328,0.08792532730149327,0.01214739118927155,1
0.7792188817951946,0.4652416154073459,0.8686660587727958,0.16996592996544724,0.820679119903491,1
0.8373543085585416,0.5997015728607455,0.4397698601566804,0.6202821673851847,0.08949233188110928,0
0.7753862894082653,0.6845088009559971,0.07909132041239031,0.9198687865724269,0.2747500529236182,1
0.1496379250068235,0.6345861347764871,0.5888420458700342,0.8028048984758114,0.4251196238540187,0
0.21060928125865053,0.37707067560133056,0.5899116106061436,0.51908706426007,0.7965395191010016,0
0.5144431850634751,0.7744090760628403,0.938221711178228,0.9271019364580244,0.8266719089059686,1
0.4662460403499118,0.8845562645868419,0.04219140534961352,0.06827345885682445,0.6207679827040031,0
0.018572363554470672,0.0742191716075481,0.7416316038493681,0.885629113256191,0.5669035942639784,0
0.5096595757323004,0.2302729097363333,0.7874741769967484,0.803492921359628,0.03616906054831259,1
0.4044601427064074,0.34456709108267813,0.43039859385898893,0.18654068175642957,0.6327161211408381,0
0.24794490413253478,0.6138633877091831,0.14578418847802432,0.8911397905406649,0.08002453609991755,0
0.43167358409992795,0.7765725147109989,0.4181274946474203,0.21364507079841288,0.8628327021459229,1
0.35009040604108754,0.9456288311472553,0.4936735196209864,0.8982435830194642,0.1240331389418281,1
0.16308712475012044,0.5803338838416514,0.3983854193811531,0.17794220387072324,0.4288937992382972,0
0.9186872884888307,0.06715648142872588,0.15975007525075036,0.9833946298081627,0.7274213781349491,1
0.17889786792922924,0.9005889083535883,0.5275200244901391,0.9283189486878294,0.09514629054135126,1
0.06784954267475418,0.8750393467883641,0.005869913612361,0.9746516292393336,0.3359815015867609,0
0.3191042563419305,0.9766145881339563,0.28975526895914283,0.5015785341234352,0.9750540601071777,0
0.8392423464570975,0.9975546903518803,0.6855551099538196,0.5138431091121731,0.7285102110008714,1
0.029767551311116636,0.0917243737725334,0.49744389239225073,0.0969696091836666,0.2959589808959373,0
0.6739852480576464,0.05819043045393468,0.077553677269387,0.5989124883586386,0.6393296213922984,0
0.10929562807260673,0.5711214320758389,0.56798815559549,0.8999945466169339,0.5782677707251583,0
0.9485592047506556,0.6991027529681296,0.5989474499345819,0.21857117570478524,0.5737746176136396,1
0.5437330731035316,0.05651600429541592,0.2950606659291972,0.7571240467788516,0.9915885388878191,0
0.41651656667860226,0.8295233511718968,0.06494736033349036,0.12875239939019012,0.3432098524703836,0
0.1023995205554209,0.8139890500528455,0.3239683609877383,0.004180165484810705,0.8947074842019758,0
0.9975750751668373,0.8097816087551644,0.8454254336631505,0.8992047345759462,0.9317210449743135,1
0.1753348743881703,0.027578258512502063,0.7409439744278007,0.8753966652499001,0.3259390878311166,0
0.2317374304327786,0.8121565844001657,0.9268900294794216,0.16381167491599113,0.02870754635273043,1
0.9800531801334793,0.7194631137232587,0.19247528347134135,0.8537541144669291,0.1776507094758515,0
0.5991127893238007,0.7190247579926645,0.3797735682865053,0.2414915375999338,0.12327022839685275,0
0.425196187104787,0.36878526791354527,0.8502369928746976,0.8369313805964577,0.2431942292336432,1
0.0684675116784923,0.08430515665164162,0.43794544112761713,0.02053965446547723,0.8803337538659284,0
0.9533301619221699,0.37893714811435897,0.11707459480206617,0.1236842418935451,0.3289133040078992,0
0.29137679875474887,0.6951041341610567,0.6441760551483368,0.6138312568276274,0.0921223360449337,0
0.23257198969645654,0.2278655692432684,0.25759954623957515,0.5043520678424451,0.8299553617318274,0
0.10286956867593933,0.5869194096466437,0.3883897200231311,0.3023852097634263,0.8532635004597868,0
0.905419571169181,0.6065927106958876,0.8700891506787874,0.6038323610893778,0.521488170827746,1
0.7595186296677534,0.5830249568743043,0.4304823968687589,0.10262695378355535,0.6318839852677317,1
0.48823330759695016,0.985814020708662,0.5869381612291784,0.00922368746381863,0.33291570810515525,1
0.17724726510693267,0.4762898527986599,0.6185761882862012,0.6503499199469723,0.9343410559854539,1
0.8026007594974708,0.3537010093939553,0.6818400877647813,0.08119807674780466,0.7055666809821813,1
0.4690597609557855,0.6303394382221714,0.2289381150626062,0.7825525136734414,0.45810222566491043,0
0.017584779450170673,0.6411811228430262,0.9763144243866486,0.509566124434509,0.3014736709077046,1
0.7563668090220336,0.6489182757825803,0.220934785335268,0.7674577601831586,0.5375612065850548,1
0.4227282726813437,0.20641901762900472,0.044024181780596416,0.30822086503625534,0.9228049902618256,0
0.040330860314863215,0.21764527257095545,0.7415162912341463,0.15040898966992056,0.8413333866109558,0
0.17527480369872428,0.3872166215995516,0.627797713274048,0.1165130338926853,0.5167227938547775,0
0.441116777334828,0.12944604674055327,0.3098978632666559,0.7545423813192241,0.0511385142250691,0
0.34169536495095887,0.975638048451957,0.055018125948655405,0.045591110591473694,0.29424055080200695,0
0.07771988244224004,0.15768073577708575,0.8733272244547646,0.6006212217649344,0.4909096044925152,0
